Coin,Name,Price,1h,24h,7d,24h Volume,Mkt Cap,ID
ES,Era,0.007765158,,-0.041,-0.137,22643,11519565,ES.Era
RBC,Rubic,0.110833,-0.008,-0.043,0.139,549463,11471311,RBC.Rubic
DDIM,DuckDaoDime,10.99,-0.001,0.029,0.276,453311,11463362,DDIM.DuckDaoDime
CFI,CyberFi,7.03,0.053,-0.043,0.193,387020,11452159,CFI.CyberFi
CDT,Blox,0.016818828,0.005,-0.013,0.004,908986,11371803,CDT.Blox
RAINI,Rainicorn,0.025083542,0,-0.035,0.023,64423,11311801,RAINI.Rainicorn
YLDY,Yieldly,0.006448947,0.002,0.024,0.11,50310,11294284,YLDY.Yieldly
MBTC,mStable,39246,0,0,0,0,11236292,MBTC.mStable
PLU,Pluton,6.17,0.004,0.39,0.451,426976,11233912,PLU.Pluton
FREE,FREE,1.42E-06,0.012,0.046,0.087,380067,11226898,FREE.FREE
LYM,Lympo,0.013302913,-0.003,-0.07,-0.067,286845,11221007,LYM.Lympo
BAX,BABB,0.00034699,0.009,0.005,-0.042,250719,11216133,BAX.BABB
HELMET,Helmet,0.298262,-0.01,-0.047,0.109,680074,11151667,HELMET.Helmet
DEFI5,DEFI,78.54,-0.006,-0.054,0.065,114241,11102981,DEFI5.DEFI
ARCX,ARC,0.894487,-0.017,0.049,0.522,433989,11074051,ARCX.ARC
UBQ,Ubiq,0.241873,-0.002,-0.064,0.15,28673,11045370,UBQ.Ubiq
YLA,Yearn,1.02,-0.002,-0.05,-0.029,71.2,11041257,YLA.Yearn
KOGE,BNB48,7.51,0,0,0,0,10965173,KOGE.BNB48
CTX,Cryptex,6.39,-0.009,-0.035,-0.012,210439,10947114,CTX.Cryptex
CRPT,Crypterium,0.128695,0,0.041,0.055,728277,10944225,CRPT.Crypterium
MEME,Meme,410.91,0.01,-0.03,-0.093,1616502,10858530,MEME.Meme
BSCX,BSCEX,2.83,-0.006,-0.087,0.473,385468,10831384,BSCX.BSCEX
PROPS,Props,0.040110287,0.004,-0.08,-0.206,826830,10773911,PROPS.Props
BUX,BUX,0.164852,-0.011,-0.013,-0.027,91208,10691337,BUX.BUX
ZIG,Zignaly,0.040121128,0,-0.016,0.031,195348,10658037,ZIG.Zignaly
MIST,Mist,0.185429,-0.026,0.111,0.111,8655484,10655631,MIST.Mist
FILDA,Filda,0.131004,-0.001,-0.049,0.071,1239750,10653953,FILDA.Filda
NEC,Nectar,0.067068305,0.002,0.1,0.433,16021.85,10618652,NEC.Nectar
MTLX,Mettalex,2.97,-0.005,-0.038,0.017,2309231,10616692,MTLX.Mettalex
PROB,Probit,0.269666,0.007,-0.028,-0.041,34708,10606574,PROB.Probit
IQN,IQeon,1.91,-0.004,-0.048,0.005,709671,10601169,IQN.IQeon
APM,apM,0.029085612,-0.008,-0.002,0.078,73720,10566556,APM.apM
MCHC,MCH,1.33,0.011,0.103,1.794,2382158,10493366,MCHC.MCH
FWB,Friends,19.26,-0.004,-0.175,0.472,191538,10444768,FWB.Friends
LABS,LABS,0.005107609,-0.018,-0.091,-0.238,283800,10440436,LABS.LABS
MYST,Mysterium,0.32014,0.002,-0.01,0.132,43740,10383215,MYST.Mysterium
